ID,bgnDt,endDt,Duration,Volume,Peak,AvQ,POT
157,8/10/1951,8/11/1951,2,2.1,1.1,1.05,1.047619048
159,8/13/1951,8/16/1951,4,4.3,1.3,1.075,1.209302326
161,8/19/1951,8/30/1951,12,24.5,3.2,2.041666667,1.567346939
163,9/1/1951,9/2/1951,2,2,1.1,1,1.1
165,9/5/1951,10/21/1951,47,3190.7,427,67.88723404,6.289842354
167,10/23/1951,11/17/1951,26,228.8,36,8.8,4.090909091
169,11/20/1951,11/29/1951,10,16,2.1,1.6,1.3125
171,12/1/1951,1/23/1952,54,661.6,105,12.25185185,8.570133011
173,1/25/1952,2/16/1952,23,2456.6,898,106.8086957,8.407555158
175,2/19/1952,3/16/1952,27,657.8,139,24.36296296,5.705381575
177,3/18/1952,3/28/1952,11,354.3,196,32.20909091,6.085238498
179,3/30/1952,4/20/1952,22,12378.9,3310,562.6772727,5.882590537
181,4/22/1952,5/15/1952,24,6244.9,1920,260.2041667,7.378821118
183,5/18/1952,6/4/1952,18,6759,1400,375.5,3.728362184
185,6/6/1952,7/1/1952,26,971.1,252,37.35,6.746987952
187,7/5/1952,7/27/1952,23,126,24,5.47826087,4.380952381
189,7/30/1952,8/15/1952,17,195.5,133,11.5,11.56521739
191,8/18/1952,10/22/1952,66,457.4,56,6.93030303,8.080454744
193,10/27/1952,10/30/1952,4,5.5,1.7,1.375,1.236363636
195,11/2/1952,12/16/1952,45,2660.6,625,59.12444444,10.57092385
197,12/18/1952,12/28/1952,11,655.4,290,59.58181818,4.867256637
199,12/30/1952,1/18/1953,20,1179.9,326,58.995,5.525892025
201,1/20/1953,2/17/1953,29,1192.4,392,41.11724138,9.533713519
203,2/19/1953,4/19/1953,60,1733.9,474,28.89833333,16.40233001
205,4/22/1953,5/11/1953,20,15507.5,3560,775.375,4.591326777
207,5/13/1953,6/26/1953,45,29207.5,4400,649.0555556,6.779080716
209,6/29/1953,8/17/1953,50,507.4,30,10.148,2.956247536
211,8/19/1953,10/7/1953,50,2676.1,355,53.522,6.632786518
213,10/10/1953,10/15/1953,6,3.7,1.3,0.616666667,2.108108108
215,10/17/1953,11/29/1953,44,3000.2,592,68.18636364,8.682087861
217,12/2/1953,1/7/1954,37,4753,694,128.4594595,5.402482643
219,1/10/1954,3/13/1954,63,2760.7,388,43.82063492,8.854276089
221,3/18/1954,3/20/1954,3,1.5,0.7,0.5,1.4
223,3/23/1954,3/31/1954,9,3.6,0.7,0.4,1.75
225,4/4/1954,4/23/1954,20,77.3,26,3.865,6.727037516
227,4/28/1954,5/20/1954,23,44,8.6,1.913043478,4.495454545
229,5/25/1954,6/7/1954,14,151.7,134,10.83571429,12.36651285
231,6/19/1954,7/9/1954,21,64.6,38,3.076190476,12.35294118
233,7/17/1954,7/23/1954,7,1.2,0.3,0.171428571,1.75
235,7/28/1954,8/11/1954,15,11794.8,7760,786.32,9.868755723
237,8/13/1954,9/23/1954,42,138.5,16,3.297619048,4.85198556
239,9/28/1954,10/14/1954,17,33.1,17,1.947058824,8.731117825
241,10/22/1954,11/10/1954,20,1839.1,805,91.955,8.754281986
243,11/12/1954,12/5/1954,24,273.8,84,11.40833333,7.363038714
245,12/12/1954,12/14/1954,3,0.5,0.2,0.166666667,1.2
247,12/26/1954,1/13/1955,19,1408.5,421,74.13157895,5.679091232
249,1/15/1955,2/2/1955,19,1316.2,421,69.27368421,6.077343869
251,2/4/1955,3/24/1955,49,7941.2,2520,162.0653061,15.54928726
253,4/1/1955,4/25/1955,25,153.7,35,6.148,5.692908263
255,4/29/1955,4/30/1955,2,0.2,0.1,0.1,1
257,5/12/1955,5/12/1955,1,0.1,0.1,0.1,1
259,5/14/1955,6/4/1955,22,147.3,44,6.695454545,6.571622539
261,6/6/1955,6/18/1955,13,72.5,24,5.576923077,4.303448276
263,6/20/1955,7/8/1955,19,181.2,43,9.536842105,4.508830022
265,7/10/1955,8/3/1955,25,349,85,13.96,6.088825215
267,8/5/1955,9/9/1955,36,947.8,125,26.32777778,4.747837096
269,9/15/1955,10/5/1955,21,383.3,95,18.25238095,5.204800417
271,10/7/1955,10/30/1955,24,64.9,25,2.704166667,9.244992296
273,11/1/1955,11/3/1955,3,0.3,0.1,0.1,1
275,11/6/1955,11/6/1955,1,0.1,0.1,0.1,1
277,11/9/1955,11/10/1955,2,0.2,0.1,0.1,1
279,11/25/1955,11/25/1955,1,0.1,0.1,0.1,1
281,12/1/1955,12/13/1955,13,40.6,9,3.123076923,2.881773399
283,1/15/1956,1/30/1956,16,843.3,340,52.70625,6.45084786
285,2/1/1956,2/29/1956,29,1183,340,40.79310345,8.334742181
287,3/3/1956,3/11/1956,9,5.6,2.1,0.622222222,3.375
289,3/13/1956,3/16/1956,4,0.4,0.1,0.1,1
291,3/22/1956,3/24/1956,3,0.4,0.2,0.133333333,1.5
293,4/4/1956,4/17/1956,14,202.3,114,14.45,7.889273356
295,4/23/1956,4/25/1956,3,0.4,0.2,0.133333333,1.5
297,5/2/1956,5/8/1956,7,8,2.8,1.142857143,2.45
299,5/30/1956,6/5/1956,7,55.6,32,7.942857143,4.028776978
301,6/13/1956,6/23/1956,11,153.4,60,13.94545455,4.302477184
303,7/10/1956,7/17/1956,8,137,98,17.125,5.722627737
305,8/27/1956,9/18/1956,23,33.5,5.6,1.456521739,3.844776119
307,9/28/1956,10/7/1956,10,11.1,2.9,1.11,2.612612613
309,11/4/1956,11/7/1956,4,33.5,24,8.375,2.865671642
311,11/15/1956,11/16/1956,2,0.8,0.7,0.4,1.75
313,12/17/1956,1/8/1957,23,261.3,64,11.36086957,5.633371604
315,1/20/1957,2/10/1957,22,49,9.8,2.227272727,4.4
317,2/18/1957,3/10/1957,21,241.3,39,11.49047619,3.394115209
319,3/12/1957,4/25/1957,45,6986.6,1430,155.2577778,9.21048865
321,4/27/1957,5/29/1957,33,9691.3,2560,293.6757576,8.717096778
323,5/31/1957,6/18/1957,19,293.6,89,15.45263158,5.759536785
325,6/20/1957,7/5/1957,16,202.2,70,12.6375,5.539070227
327,7/20/1957,7/25/1957,6,27.5,18,4.583333333,3.927272727
329,8/12/1957,8/28/1957,17,30.4,5,1.788235294,2.796052632
